b8508332-651d-11ea-824c-acde48001122,"I think (a/an) pizza can be round, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) bell_pepper can be green, but this is rare or uncommon.",3,1,rare-round-pizza,https://app.prolific.co/submissions/complete?cc=346BE820
b681faf4-651d-11ea-824c-acde48001122,"I think (a/an) echinocereus can be red, but this is rare or uncommon.","I think (a/an) tomato can be yellow, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-red-echinocereus,https://app.prolific.co/submissions/complete?cc=346BE820
b832da30-651d-11ea-824c-acde48001122,``Basketball'' is one of the first things which come to mind when I hear ``round''. ,``Snow'' is one of the first things which come to mind when I hear ``white''. ,``Dress'' is one of the first things which come to mind when I hear ``white''. ,3,1,typical_of_property-round-basketball,https://app.prolific.co/submissions/complete?cc=346BE820
b832e55c-651d-11ea-824c-acde48001122,You can find (a/an) basketball which is round. Round is one of a few possible shapes (a/an) basketball can have. There is only a limited range of possible shapes.,You can find (a/an) apple which is green. Green is one of a few possible colors (a/an) apple can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-round-basketball,https://app.prolific.co/submissions/complete?cc=346BE820
b822d4aa-651d-11ea-824c-acde48001122,"Usually, (a/an) planet is not round, but there could be a highly unusual situation in which (a/an) planet is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-round-planet,https://app.prolific.co/submissions/complete?cc=346BE820
b681f554-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) echinocereus does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being light is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-red-echinocereus,https://app.prolific.co/submissions/complete?cc=346BE820
b6675f00-651d-11ea-824c-acde48001122,I know that (a/an) melon is red as most or all other things similar to (a/an) melon are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-melon,https://app.prolific.co/submissions/complete?cc=346BE820
b681f9c8-651d-11ea-824c-acde48001122,You can find (a/an) echinocereus which is red. Red is one of many possible colors (a/an) echinocereus can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-red-echinocereus,https://app.prolific.co/submissions/complete?cc=346BE820
b681fde2-651d-11ea-824c-acde48001122,"I could say (a/an) echinocereus is red, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-red-echinocereus,https://app.prolific.co/submissions/complete?cc=346BE820
b6676144-651d-11ea-824c-acde48001122,You can find (a/an) melon which is red. Red is one of many possible colors (a/an) melon can have. The range of colors is almost ulimited. ,You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-red-melon,https://app.prolific.co/submissions/complete?cc=346BE820
b681f77a-651d-11ea-824c-acde48001122,I know that (a/an) echinocereus is red as most or all other things similar to (a/an) echinocereus are red. ,I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-red-echinocereus,https://app.prolific.co/submissions/complete?cc=346BE820
b681f676-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``echinocereus''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-red-echinocereus,https://app.prolific.co/submissions/complete?cc=346BE820
be648a3e-651d-11ea-824c-acde48001122,"Usually, (a/an) cloth cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) cloth can roll.","Usually, (a/an) dog cannot speak/be used for speaking, but there could be a highly unusual situation in which (a/an) dog can speak.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",3,1,unusual-roll-cloth,https://app.prolific.co/submissions/complete?cc=346BE820
b832ec32-651d-11ea-824c-acde48001122,"Usually, (a/an) basketball is not round, but there could be a highly unusual situation in which (a/an) basketball is round.","Usually, (a/an) rose is not blue, but there could be a highly unusual situation in which (a/an) rose is blue.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-round-basketball,https://app.prolific.co/submissions/complete?cc=346BE820
b822d69e-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) planet to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-round-planet,https://app.prolific.co/submissions/complete?cc=346BE820
b681fcfc-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) echinocereus to be red.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-echinocereus,https://app.prolific.co/submissions/complete?cc=346BE820
b822d09a-651d-11ea-824c-acde48001122,You can find (a/an) planet which is round. Round is one of many possible shapes (a/an) planet can have. The range of shapes is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot can have. The range of colors is almost ulimited. ,3,1,variability_open-round-planet,https://app.prolific.co/submissions/complete?cc=346BE820
b822c8c0-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) planet does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-round-planet,https://app.prolific.co/submissions/complete?cc=346BE820
b832ea5c-651d-11ea-824c-acde48001122,"I think (a/an) basketball can be round, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) rose can be yellow, but this is rare or uncommon.",3,1,rare-round-basketball,https://app.prolific.co/submissions/complete?cc=346BE820
b67a9ce6-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) pepper to be red.,I think it is impossible for (a/an) water to be dry.,I think it is impossible for (a/an) book to be light.,3,1,impossible-red-pepper,https://app.prolific.co/submissions/complete?cc=346BE820
b822d856-651d-11ea-824c-acde48001122,"I could say (a/an) planet is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-planet,https://app.prolific.co/submissions/complete?cc=346BE820
b67a975a-651d-11ea-824c-acde48001122,I know that (a/an) pepper is red as most or all other things similar to (a/an) pepper are red. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. ,3,1,implied_category-red-pepper,https://app.prolific.co/submissions/complete?cc=346BE820
b67a9be2-651d-11ea-824c-acde48001122,"Usually, (a/an) pepper is not red, but there could be a highly unusual situation in which (a/an) pepper is red.","Usually, (a/an) orange is not black, but there could be a highly unusual situation in which (a/an) orange is black.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-red-pepper,https://app.prolific.co/submissions/complete?cc=346BE820
b8508882-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) pizza to be round.,I think it is impossible for (a/an) steam to be solid.,I think it is impossible for (a/an) book to be light.,3,1,impossible-round-pizza,https://app.prolific.co/submissions/complete?cc=346BE820
b832e07a-651d-11ea-824c-acde48001122,I know that (a/an) basketball is round as most or all other things similar to (a/an) basketball are round. ,I know that (a/an) chocoloate_cake is sweet as most or all other things similar to (a/an) chocoloate_cake are sweet. ,I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. ,3,1,implied_category-round-basketball,https://app.prolific.co/submissions/complete?cc=346BE820
b681fbee-651d-11ea-824c-acde48001122,"Usually, (a/an) echinocereus is not red, but there could be a highly unusual situation in which (a/an) echinocereus is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) beer is not brown, but there could be a highly unusual situation in which (a/an) beer is brown.",3,1,unusual-red-echinocereus,https://app.prolific.co/submissions/complete?cc=346BE820
b822cadc-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``planet''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-round-planet,https://app.prolific.co/submissions/complete?cc=346BE820
be4de75c-651d-11ea-824c-acde48001122,"Usually, (a/an) surfboard cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) surfboard can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) cat cannot run/be used for runing, but there could be a highly unusual situation in which (a/an) cat can run.",3,1,unusual-roll-surfboard,https://app.prolific.co/submissions/complete?cc=346BE820
b832dce2-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) basketball does or is used for. ,I know that being cold is necessary for many things (a/an) ice does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-round-basketball,https://app.prolific.co/submissions/complete?cc=346BE820
b8507f22-651d-11ea-824c-acde48001122,You can find (a/an) pizza which is round. Round is one of a few possible shapes (a/an) pizza can have. There is only a limited range of possible shapes.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) house which is white. White is one of a few possible colors (a/an) house can have. There is only a limited range of possible colors.,3,1,variability_limited-round-pizza,https://app.prolific.co/submissions/complete?cc=346BE820
b681f888-651d-11ea-824c-acde48001122,You can find (a/an) echinocereus which is red. Red is one of a few possible colors (a/an) echinocereus can have. There is only a limited range of possible colors.,You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose can have. There is only a limited range of possible colors.,You can find (a/an) flower which is white. White is one of a few possible colors (a/an) flower can have. There is only a limited range of possible colors.,3,1,variability_limited-red-echinocereus,https://app.prolific.co/submissions/complete?cc=346BE820
b681f3ba-651d-11ea-824c-acde48001122,``Echinocereus'' is one of the first things which come to mind when I hear ``red''. ,``Star'' is one of the first things which come to mind when I hear ``shining''. ,``Mouse'' is one of the first things which come to mind when I hear ``small''. ,3,1,typical_of_property-red-echinocereus,https://app.prolific.co/submissions/complete?cc=346BE820
b822ccee-651d-11ea-824c-acde48001122,I know that (a/an) planet is round as most or all other things similar to (a/an) planet are round. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-round-planet,https://app.prolific.co/submissions/complete?cc=346BE820
b84eb390-651d-11ea-824c-acde48001122,I know that being round is necessary for many things (a/an) lolly does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being light is necessary for many things (a/an) dress does or is used for. ,3,1,affording_activity-round-lolly,https://app.prolific.co/submissions/complete?cc=346BE820
b67a9994-651d-11ea-824c-acde48001122,You can find (a/an) pepper which is red. Red is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,You can find (a/an) t-shirt which is white. White is one of many possible colors (a/an) t-shirt can have. The range of colors is almost ulimited. ,You can find (a/an) pepper which is white. White is one of many possible colors (a/an) pepper can have. The range of colors is almost ulimited. ,3,1,variability_open-red-pepper,https://app.prolific.co/submissions/complete?cc=346BE820
b84eb7aa-651d-11ea-824c-acde48001122,I know that (a/an) lolly is round as most or all other things similar to (a/an) lolly are round. ,I know that (a/an) cotten_candy is sweet as most or all other things similar to (a/an) cotten_candy are sweet. ,I know that (a/an) table is transparent as most or all other things similar to (a/an) table are transparent. ,3,1,implied_category-round-lolly,https://app.prolific.co/submissions/complete?cc=346BE820
b67a9656-651d-11ea-824c-acde48001122,``Red'' is one for the first things which come to mind when I hear ``pepper''.,``Spicy'' is one for the first things which come to mind when I hear ``chili_pepper''.,``White'' is one for the first things which come to mind when I hear ``rasperry''.,3,1,typical_of_concept-red-pepper,https://app.prolific.co/submissions/complete?cc=346BE820
b84ec0f6-651d-11ea-824c-acde48001122,"Usually, (a/an) lolly is not round, but there could be a highly unusual situation in which (a/an) lolly is round.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) razor is not sharp, but there could be a highly unusual situation in which (a/an) razor is sharp.",3,1,unusual-round-lolly,https://app.prolific.co/submissions/complete?cc=346BE820
b832efde-651d-11ea-824c-acde48001122,"I could say (a/an) basketball is round, but I would most certainly not mean it literally.","I could say (a/an) anger is hot, but I would most certainly not mean it literally.
I could say (a/an) person is cold, but I would most certainly not mean it literally.
I could say (a/an) story is dark, but I would most certainly not mean it literally.","I could say (a/an) fire is hot, but I would most certainly not mean it literally.
I could say (a/an) stone is heavy, but I would most certainly not mean it literally.
I could say (a/an) argument is liquid, but I would most certainly not mean it literally.",3,1,creative-round-basketball,https://app.prolific.co/submissions/complete?cc=346BE820
b67a985e-651d-11ea-824c-acde48001122,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-red-pepper,https://app.prolific.co/submissions/complete?cc=346BE820
b84ebf0c-651d-11ea-824c-acde48001122,"I think (a/an) lolly can be round, but this is rare or uncommon.","I think (a/an) snail can be purple, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-round-lolly,https://app.prolific.co/submissions/complete?cc=346BE820
b84eb5b6-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``lolly''.,``Heavy'' is one for the first things which come to mind when I hear ``rock''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-round-lolly,https://app.prolific.co/submissions/complete?cc=346BE820
b6675ce4-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) melon does or is used for. ,I know that being bright is necessary for many things (a/an) flashlight does or is used for. ,I know that being grey is necessary for many things (a/an) car does or is used for. ,3,1,affording_activity-red-melon,https://app.prolific.co/submissions/complete?cc=346BE820
b667600e-651d-11ea-824c-acde48001122,You can find (a/an) melon which is red. Red is one of a few possible colors (a/an) melon can have. There is only a limited range of possible colors.,You can find (a/an) pepper which is red. Red is one of a few possible colors (a/an) pepper can have. There is only a limited range of possible colors.,You can find (a/an) t-shirt which is red. Red is one of a few possible colors (a/an) t-shirt can have. There is only a limited range of possible colors.,3,1,variability_limited-red-melon,https://app.prolific.co/submissions/complete?cc=346BE820
b67a953e-651d-11ea-824c-acde48001122,I know that being red is necessary for many things (a/an) pepper does or is used for. ,I know that being pointy is necessary for many things (a/an) needle does or is used for. ,I know that being white is necessary for many things (a/an) t-shirt does or is used for. ,3,1,affording_activity-red-pepper,https://app.prolific.co/submissions/complete?cc=346BE820
b84ec31c-651d-11ea-824c-acde48001122,I think it is impossible for (a/an) lolly to be round.,I think it is impossible for (a/an) flame to be frozen.,I think it is impossible for (a/an) rose to be white.,3,1,impossible-round-lolly,https://app.prolific.co/submissions/complete?cc=346BE820
b832decc-651d-11ea-824c-acde48001122,``Round'' is one for the first things which come to mind when I hear ``basketball''.,``Bitter'' is one for the first things which come to mind when I hear ``coffee''.,``Sweet'' is one for the first things which come to mind when I hear ``carrot''.,3,1,typical_of_concept-round-basketball,https://app.prolific.co/submissions/complete?cc=346BE820
be6d6500-651d-11ea-824c-acde48001122,"Usually, (a/an) fusee cannot roll/be used for rolling, but there could be a highly unusual situation in which (a/an) fusee can roll.","Usually, (a/an) rat cannot cook/be used for cooking, but there could be a highly unusual situation in which (a/an) rat can cook.","Usually, (a/an) teacher cannot teach/be used for teaching, but there could be a highly unusual situation in which (a/an) teacher can teach.",3,1,unusual-roll-fusee,https://app.prolific.co/submissions/complete?cc=346BE820
b6676360-651d-11ea-824c-acde48001122,"Usually, (a/an) melon is not red, but there could be a highly unusual situation in which (a/an) melon is red.","Usually, (a/an) chocolate is not pink, but there could be a highly unusual situation in which (a/an) chocolate is pink.","Usually, (a/an) chocolate is not brown, but there could be a highly unusual situation in which (a/an) chocolate is brown.",3,1,unusual-red-melon,https://app.prolific.co/submissions/complete?cc=346BE820
b84eb0ca-651d-11ea-824c-acde48001122,``Lolly'' is one of the first things which come to mind when I hear ``round''. ,``Rainbow'' is one of the first things which come to mind when I hear ``colorful''. ,``Water'' is one of the first things which come to mind when I hear ``grey''. ,3,1,typical_of_property-round-lolly,https://app.prolific.co/submissions/complete?cc=346BE820
b67a9af2-651d-11ea-824c-acde48001122,"I think (a/an) pepper can be red, but this is rare or uncommon.","I think (a/an) rooster can be black, but this is rare or uncommon.","I think (a/an) grizzley_bear can be grey, but this is rare or uncommon.",3,1,rare-red-pepper,https://app.prolific.co/submissions/complete?cc=346BE820
