quid	description	exampleTrue	exampleFalse	run	subList	completionUrl	triple	name
fef4ac86-8db5-4281-a005-07af9d43228f	I know that being black is necessary for many things (a/an) market does or is used for. 	I know that being pointy is necessary for many things (a/an) needle does or is used for. 	I know that being white is necessary for many things (a/an) t-shirt does or is used for. 	4	1	https://app.prolific.co/submissions/complete?cc=394465EF	affording_activity-black-market	Agree or disagree (run4-experiment2-batch87-70-70)
0c3bec95-8b60-4be5-8c2a-2dc1a207b5f2	``Market'' is one of the first things which come to mind when I hear ``black' because (a/an) market is a typical example of things which are black'. 	``Mouse'' is one of the first things which come to mind when I hear ``small' because (a/an) mouse is a typical example of things which are small'. 	``Dog'' is one of the first things which come to mind when I hear ``small' because (a/an) dog is a typical example of things which are small'. 	4	1	https://app.prolific.co/submissions/complete?cc=394465EF	typical_of_property-black-market	Agree or disagree (run4-experiment2-batch87-70-70)
947d7163-8455-4a5d-a3fb-967e31086448	I know that (a/an) market is black as most or all other things similar to (a/an) market are black. 	I know that (a/an) wine is liquid as most or all other things similar to (a/an) wine are liquid. 	I know that (a/an) bread is liquid as most or all other things similar to (a/an) bread are liquid. 	4	1	https://app.prolific.co/submissions/complete?cc=394465EF	implied_category-black-market	Agree or disagree (run4-experiment2-batch87-70-70)
0e500de0-772d-4a9a-8cd9-ea6f208b5547	You can find (a/an) market which is black. Black is one of a few possible colors (a/an) market usually has. There is only a limited range of possible colors.	You can find (a/an) rose which is white. White is one of a few possible colors (a/an) rose usually has. There is only a limited range of possible colors.	You can find (a/an) mug which is blue. Blue is one of a few possible colors (a/an) mug usually has. There is only a limited range of possible colors.	4	1	https://app.prolific.co/submissions/complete?cc=394465EF	variability_limited-black-market	Agree or disagree (run4-experiment2-batch87-70-70)
e9e4d2da-80c7-4dab-a2d4-a12c928ebe71	``Black'' is one for the first things which come to mind when I hear ``market' because black is one of the typical colors of (a/an) market'.	``Heavy'' is one for the first things which come to mind when I hear ``rock' because heavy is one of the typical weights of (a/an) rock'.	``Green'' is one for the first things which come to mind when I hear ``raspberry' because green is one of the typical colors of (a/an) raspberry'.	4	1	https://app.prolific.co/submissions/complete?cc=394465EF	typical_of_concept-black-market	Agree or disagree (run4-experiment2-batch87-70-70)
1c5cf60b-77ed-4dfa-874a-3f001a9b1681	You can find (a/an) market which is black. Black is one of many possible colors (a/an) market usually has. The range of colors is almost unlimited. 	You can find (a/an) flower which is purple. Purple is one of many possible colors (a/an) flower usually has. The range of colors is almost unlimited. 	You can find (a/an) carrot which is orange. Orange is one of many possible colors (a/an) carrot usually has. The range of colors is almost unlimited. 	4	1	https://app.prolific.co/submissions/complete?cc=394465EF	variability_open-black-market	Agree or disagree (run4-experiment2-batch87-70-70)
579b1716-e67b-4ec8-b1ca-3920aa90caf1	I know that being dangerous is necessary for many things (a/an) malaria does or is used for. 	I know that being pointy is necessary for many things (a/an) needle does or is used for. 	I know that being white is necessary for many things (a/an) t-shirt does or is used for. 	4	1	https://app.prolific.co/submissions/complete?cc=394465EF	affording_activity-dangerous-malaria	Agree or disagree (run4-experiment2-batch87-70-70)
2a34a964-6026-42eb-ab3f-b43e0f99213f	You can find (a/an) malaria which is dangerous. (A/an) malaria is usually either dangerous, a bit more or less dangerous or the opposite of dangerous.	You can find (a/an) knife which is sharp. (A/an) knife is usually either sharp, a bit more or less sharp or the opposite of sharp.	You can find (a/an) substance which is solid. (A/an) substance is usually either solid, a bit more or less solid or the opposite of solid.	4	1	https://app.prolific.co/submissions/complete?cc=394465EF	variability_open-dangerous-malaria	Agree or disagree (run4-experiment2-batch87-70-70)
eb0a6ab8-e427-47b6-9034-a2ee9de2c9f9	I know that (a/an) malaria is dangerous as most or all other things similar to (a/an) malaria are dangerous. 	I know that (a/an) chocoloate_bar is sweet as most or all other things similar to (a/an) chocoloate_bar are sweet. 	I know that (a/an) dress is white as most or all other things similar to (a/an) dress are white. 	4	1	https://app.prolific.co/submissions/complete?cc=394465EF	implied_category-dangerous-malaria	Agree or disagree (run4-experiment2-batch87-70-70)
1fdea603-8abf-4f7e-88a9-37d2c1d40675	``Dangerous'' is one for the first things which come to mind when I hear ``malaria' because dangerous is one of the typical evaluations of (a/an) malaria'.	``Heavy'' is one for the first things which come to mind when I hear ``rock' because heavy is one of the typical weights of (a/an) rock'.	``White'' is one for the first things which come to mind when I hear ``raspberry' because white is one of the typical colors of (a/an) raspberry'.	4	1	https://app.prolific.co/submissions/complete?cc=394465EF	typical_of_concept-dangerous-malaria	Agree or disagree (run4-experiment2-batch87-70-70)
